Tiempo_FB ,Tiempo_DP ,Tiempo_FB_same_word ,Tiempo_DP_same_word
       14 ,        4 ,                  0 ,                  2
       11 ,        4 ,                  0 ,                  2
       28 ,        4 ,                  0 ,                  2
       62 ,       32 ,                  1 ,                 19
       19 ,        5 ,                  0 ,                  3
       28 ,        7 ,                  0 ,                  4
       12 ,        6 ,                  0 ,                  4
       17 ,        5 ,                  0 ,                  4
       12 ,        6 ,                  0 ,                  4
       27 ,        7 ,                  0 ,                  4
       24 ,        6 ,                  0 ,                  4
       23 ,        6 ,                  0 ,                  4
       35 ,        5 ,                  0 ,                  4
       13 ,        6 ,                  0 ,                  4
       24 ,        5 ,                  0 ,                  3
       22 ,        5 ,                  0 ,                  3
       24 ,        6 ,                  0 ,                  4
       18 ,        6 ,                  0 ,                  4
       26 ,        6 ,                  0 ,                  4
       25 ,        6 ,                  0 ,                  4
       24 ,        5 ,                  0 ,                  4
        6 ,        6 ,                  0 ,                  4
       17 ,        5 ,                  0 ,                  4
       25 ,        5 ,                  0 ,                  3
       13 ,        6 ,                  0 ,                  4
       26 ,        6 ,                  0 ,                  4
       14 ,        5 ,                  0 ,                  3
       24 ,        6 ,                  0 ,                  4
       24 ,        5 ,                  0 ,                  4
       25 ,        5 ,                  0 ,                  3
       25 ,        5 ,                  0 ,                  4
       18 ,        6 ,                  0 ,                  4
       25 ,        6 ,                  0 ,                  4
       27 ,        5 ,                  0 ,                  4
       11 ,        5 ,                  0 ,                 18
       27 ,       14 ,                  0 ,                  5
       25 ,        6 ,                  0 ,                  4
       16 ,        5 ,                  0 ,                  3
       27 ,        6 ,                  0 ,                  4
       16 ,        4 ,                  0 ,                  2
       26 ,        7 ,                  0 ,                  4
       25 ,        5 ,                  0 ,                  4
        4 ,        5 ,                  0 ,                  4
       56 ,        8 ,                  0 ,                  5
      129 ,        7 ,                  0 ,                  5
      128 ,        7 ,                  0 ,                  5
      127 ,        6 ,                  0 ,                  4
      124 ,        7 ,                  0 ,                  5
      130 ,        8 ,                  0 ,                  5
      130 ,        7 ,                  0 ,                  5
      121 ,        7 ,                  0 ,                  5
      117 ,        6 ,                  0 ,                  4
      121 ,        7 ,                  0 ,                  6
       13 ,        6 ,                  0 ,                  5
      125 ,        7 ,                  0 ,                  5
       47 ,        5 ,                  0 ,                  3
       91 ,        7 ,                  0 ,                  5
       66 ,        6 ,                  0 ,                  5
      101 ,        7 ,                  0 ,                  7
      122 ,        7 ,                  0 ,                  5
       72 ,        4 ,                  0 ,                  3
        2 ,        8 ,                  0 ,                  5
      129 ,        6 ,                  0 ,                  5
      170 ,        7 ,                  0 ,                  5
       25 ,        7 ,                  0 ,                  6
      125 ,        7 ,                  0 ,                  5
      110 ,        8 ,                  0 ,                  5
      122 ,        7 ,                  0 ,                  5
      131 ,        8 ,                  0 ,                  6
      125 ,        7 ,                  0 ,                  5
      113 ,        5 ,                  0 ,                  3
      123 ,        7 ,                  0 ,                  5
      130 ,        5 ,                  0 ,                  3
       59 ,        5 ,                  0 ,                  3
       74 ,        5 ,                  0 ,                  3
      127 ,        7 ,                  0 ,                  5
       46 ,        4 ,                  0 ,                  3
      121 ,        7 ,                  0 ,                  5
       71 ,        7 ,                  0 ,                  5
      135 ,        5 ,                  0 ,                  3
      131 ,        7 ,                  0 ,                  6
       57 ,        6 ,                  0 ,                  5
       68 ,        7 ,                  0 ,                  5
       78 ,        7 ,                  0 ,                  5
